userID,programID
1,7
2,4
3,6
4,1
5,9
6,2
7,8
8,5
9,3
10,10
11,9
12,7
13,3
14,8
15,10
16,5
17,4
18,6
19,1
20,2
21,9
22,6
23,1
24,10
25,3
26,2
27,4
28,8
29,1
30,7
31,3
32,6
33,5
34,9
35,10
36,5
37,10
38,3
39,9
40,7
41,6
42,8
43,2
44,4
45,1
46,3
47,9
48,4
49,6
50,7
51,8
52,1
53,6
54,5
55,2
56,4
57,10
58,7
59,9
60,3
61,7
62,10
63,2
64,5
65,4
66,8
67,9
68,1
69,6
70,3
71,3
72,9
73,10
74,8
75,2
76,9
77,2
78,6
79,7
80,4
81,10
82,3
83,5
84,8
85,1
86,1
87,8
88,10
89,4
90,2
91,5
92,9
93,3
94,6
95,7
96,6
97,2
98,4
99,5
100,7
101,6
102,5
103,10
104,3
105,8
106,7
107,4
108,2
109,1
110,9
111,10
112,3
113,8
114,6
115,1
116,5
117,4
118,9
119,7
120,2
121,10
122,9
123,3
124,1
125,4
126,4
127,2
128,8
129,10
130,5
131,7
132,1
133,6
134,9
135,3
136,5
137,7
138,3
139,2
140,4
141,8
142,9
143,10
144,6
145,1
146,4
147,9
148,10
149,6
150,1
151,10
152,1
153,2
154,3
155,7
156,4
157,9
158,5
159,6
160,8
161,7
162,1
163,4
164,8
165,6
166,5
167,9
168,2
169,3
170,10
171,8
172,4
173,3
174,10
175,6
176,1
177,3
178,5
179,2
180,6
181,7
182,9
183,4
184,8
185,10
186,8
187,2
188,10
189,4
190,5
191,1
192,9
193,7
194,6
195,3
196,4
197,1
198,2
199,10
200,3
201,5
202,8
203,6
204,1
205,10
206,3
207,2
208,7
209,9
210,4
211,5
212,9
213,7
214,3
215,10
216,1
217,8
218,6
219,2
220,4
221,9
222,6
223,1
224,7
225,10
226,4
227,8
228,2
229,10
230,7
231,9
232,5
233,1
234,6
235,3
236,2
237,5
238,6
239,4
240,1
241,10
242,9
243,3
244,7
245,8
246,9
247,7
248,8
249,5
250,10
251,4
252,5
253,9
254,2
255,6
256,7
257,10
258,8
259,1
260,3
261,2
262,4
263,10
264,8
265,9
266,5
267,7
268,1
269,3
270,6
271,3
272,7
273,6
274,2
275,5
276,6
277,8
278,4
279,2
280,7
281,5
282,1
283,9
284,3
285,10
286,4
287,1
288,9
289,8
290,2
291,10
292,3
293,7
294,6
295,5
296,2
297,4
298,8
299,6
300,10
301,3
302,1
303,8
304,9
305,6
306,2
307,10
308,7
309,5
310,4
311,9
312,4
313,1
314,8
315,5
316,6
317,7
318,2
319,3
320,10
321,7
322,9
323,4
324,1
325,6
326,1
327,7
328,5
329,8
330,6
331,3
332,4
333,2
334,10
335,9
336,5
337,2
338,10
339,4
340,9
341,7
342,6
343,8
344,1
345,3
346,3
347,8
348,10
349,2
350,6
351,5
352,1
353,6
354,4
355,9
356,10
357,2
358,8
359,7
360,3
361,6
362,2
363,10
364,7
365,4
366,3
367,9
368,8
369,1
370,5
371,2
372,7
373,5
374,10
375,8
376,10
377,7
378,5
379,1
380,2
381,8
382,4
383,3
384,9
385,6
386,1
387,10
388,7
389,8
390,2
391,6
392,4
393,3
394,9
395,5
396,8
397,9
398,5
399,3
400,7
401,2
402,7
403,6
404,5
405,1
406,8
407,9
408,4
409,3
410,10
411,8
412,4
413,5
414,1
415,7
416,6
417,2
418,3
419,9
420,10
421,6
422,1
423,3
424,4
425,10
426,1
427,2
428,8
429,3
430,9
431,5
432,10
433,7
434,4
435,6
436,3
437,9
438,10
439,6
440,5
441,4
442,7
443,1
444,2
445,8
446,2
447,6
448,4
449,5
450,10
451,1
452,8
453,5
454,4
455,6
456,9
457,3
458,2
459,7
460,10
461,10
462,2
463,7
464,5
465,9
466,4
467,8
468,6
469,3
470,1
471,8
472,3
473,4
474,7
475,1
476,2
477,8
478,4
479,1
480,5
481,7
482,3
483,9
484,6
485,10
486,2
487,7
488,10
489,3
490,1
491,6
492,5
493,9
494,4
495,8
496,5
497,1
498,6
499,3
500,9
